[ 04-26 19:37:02.761 INFO  ] RAM: 13.78 MB
[ 04-26 19:37:02.763 INFO  ] Graphics Mode: true
[ 04-26 19:37:02.763 INFO  ] Standalone: true
[ 04-26 19:37:02.764 INFO  ] Updating Directory:   D:/522mtr/mc522mtr-online-pcl-4.0-1.18.2
[ 04-26 19:37:02.764 INFO  ] Working Directory:    D:/522mtr/mc522mtr-online-pcl-4.0-1.18.2
[ 04-26 19:37:02.764 INFO  ] Executable Directory: D:/522mtr/mc522mtr-online-pcl-4.0-1.18.2
[ 04-26 19:37:02.767 INFO  ] Application Version:  1.1.1 (65e16f75b30cd201763f7a412c175468ac77c853)
[ 04-26 19:37:02.767 INFO  ] Java virtual Machine: Oracle Corporation 17.0.7
[ 04-26 19:37:02.767 INFO  ] Operating System: Windows 10 10.0 amd64
[ 04-26 19:37:03.207 DEBUG ] http request on http://101.43.218.247:6600/versions.txt
[ 04-26 19:37:03.311 DEBUG ] all versions: 
[ 04-26 19:37:03.312 DEBUG ]   - 4.0
[ 04-26 19:37:03.312 INFO  ] current version: 1.1, newest version: 4.0
[ 04-26 19:37:03.313 INFO  ] restarted the version
[ 04-26 19:37:03.313 INFO  ] missing versions: [4.0]
[ 04-26 19:37:03.316 DEBUG ] [4.0] http request on http://101.43.218.247:6600/4.0.mcpatch.zip, write to: C:/Users/Æë¶¦É­/AppData/Local/Temp/mcpatch-4.011324253281484009610.zip
[ 04-26 19:51:34.856 DEBUG ] [4.0] old files: .minecraft/assets/indexes/1.18.json
[ 04-26 19:51:34.856 DEBUG ] [4.0] old files: .minecraft/assets/objects/00/000c82756fd54e40cb236199f2b479629d0aca2f
[ 04-26 19:51:34.857 DEBUG ] [4.0] old files: .minecraft/assets/objects/00/0027d19bb0cd9c914d3ac148aeee6316d9786341
[ 04-26 19:51:34.857 DEBUG ] [4.0] old files: .minecraft/assets/objects/00/00340157e51d29fdeba7258fd880780f766d77dc
[ 04-26 19:51:34.857 DEBUG ] [4.0] old files: .minecraft/assets/objects/00/003409183ca2b8a8a140bfeb6390d1a9edc8c88b
[ 04-26 19:51:34.857 DEBUG ] [4.0] old files: .minecraft/assets/objects/00/006dada2a21571fc27e6a3781a8c245ea2f0a7fc
[ 04-26 19:51:34.857 DEBUG ] [4.0] old files: .minecraft/assets/objects/00/0076a7bdf840e166559cd82e8f58e633c59382ea
[ 04-26 19:51:34.857 DEBUG ] [4.0] old files: .minecraft/assets/objects/00/0079462dbb8b4a33d4503439b78ca47f2bfbbe8a
[ 04-26 19:51:34.857 DEBUG ] [4.0] old files: .minecraft/assets/objects/00/007a96cf5c6585babb020381a1075912df2279f4
[ 04-26 19:51:34.858 DEBUG ] [4.0] old files: .minecraft/assets/objects/00/007f04ca456cfc7c0e877352f01a7aa77dff636c
